AU;ndoc;ncit;ndoc_1st;ncit_1st;ncit_loc;au;btw_centrality;clos_centrality;pagerank_centrality;community
LANSARD B;13;589;4;108;52;lansard b;2,88899221641120e+04;7,54432289701999e-05;8,47325744792185e-04;c06
SEMPERE R;13;704;4;191;118;sempere r;7,91087122528064e+04;7,39754401538689e-05;8,70454947169223e-04;c03
BABUT M;12;397;2;64;19;babut m;8,29778153286714e+04;8,37801608579088e-05;8,75383549746496e-04;c07
BRAVARD JP;12;392;5;241;163;bravard jp;2,61046933547250e+05;7,82778864970646e-05;6,75644887518218e-04;NA
CARREL G;12;203;3;35;42;carrel g;1,26438022783662e+05;8,74737578726382e-05;1,01824205115749e-03;c04
CAUWET G;12;693;1;111;82;cauwet g;5,08637708068829e+04;7,22438953908395e-05;8,45092307670619e-04;c03
FRUGET JF;12;205;6;71;47;fruget jf;5,21810400651739e+04;7,58092638920476e-05;6,94713804763565e-04;c01
PERSAT H;12;471;4;107;64;persat h;2,30101041096847e+05;8,72219799389446e-05;1,01681830401935e-03;c04
SABATIER F;12;372;3;122;48;sabatier f;7,68032170734445e+04;8,07493540051680e-05;7,32172459613385e-04;c05
VELLA C;12;498;1;106;52;vella c;6,01946761434168e+04;8,09978940547546e-05;7,48139229946457e-04;c05
ARNAUD-FASSETTA G;11;349;8;287;74;arnaud-fassetta g;1,17422735216501e+04;7,19683339330695e-05;4,03638270898673e-04;c05
BERNE S;11;308;0;0;29;berne s;6,29825015706790e+04;7,90014220255965e-05;9,56310972647488e-04;c06
BIANCHI M;11;342;4;121;18;bianchi m;3,22101228397673e+04;7,34645900675874e-05;7,09456977780154e-04;c03
BUSCAIL R;11;439;0;0;34;buscail r;8,94633304382068e+04;8,22097994080894e-05;1,03384120470358e-03;c02
CAMENEN B;11;80;2;5;12;camenen b;2,82015282475695e+04;8,07297973682086e-05;5,16599664684028e-04;c08
CHAUVELON P;11;225;5;85;35;chauvelon p;6,70305241777382e+04;7,18132854578097e-05;6,11285433983931e-04;NA
CRIVELLI AJ;11;312;2;28;17;crivelli aj;4,83812077832939e+04;6,50279620236702e-05;7,53210998100115e-04;NA
HABETS F;11;501;3;135;26;habets f;8,57223209147982e+04;6,46579593948015e-05;8,05183906694537e-04;NA
MARSALEIX P;11;515;1;66;49;marsaleix p;4,44868590769034e+04;8,03148341498675e-05;9,05806566620874e-04;c02
SCHLEISS AJ;11;266;0;0;3;schleiss aj;5,51299200029530e+04;5,22602560752548e-05;9,33110105168381e-04;NA
CHARRIERE B;10;437;1;12;4;charriere b;1,04496692156133e+05;8,62589493659967e-05;7,94404200942360e-04;c03
COQUERY M;10;128;0;0;2;coquery m;3,73139905511843e+04;8,39983200335993e-05;5,88768953131172e-04;c08
DESMET M;10;428;1;55;30;desmet m;5,98531955049697e+04;8,37310558486143e-05;1,05323256522963e-03;c07
DIAZ F;10;228;3;98;36;diaz f;5,60457191111674e+04;7,93524837327408e-05;9,59075168479497e-04;c03
DOLEDEC S;10;1160;6;327;156;doledec s;9,97614123394236e+04;8,07819694644155e-05;1,34156622822444e-03;c01
GIBERT J;10;266;1;25;56;gibert j;1,42869577099160e+04;7,52275633792221e-05;5,19372862342386e-04;c01
KERHERVE P;10;497;0;0;10;kerherve p;2,12578309755011e+05;8,78889084197574e-05;1,36221342391976e-03;NA
LEPAGE H;10;38;3;11;7;lepage h;5,62801466850670e+04;8,81600987393106e-05;8,08578112576495e-04;c08
MARTIN JM;10;439;1;43;61;martin jm;3,96583104854505e+04;6,89512514652141e-05;5,43811390141566e-04;NA
ROSECCHI E;10;247;1;16;8;rosecchi e;3,55456267847127e+04;6,24492599762693e-05;5,96923010197623e-04;NA
ARNAUD F;9;473;1;112;41;arnaud f;8,76035711678181e+04;8,60141063134354e-05;1,07808439537478e-03;c01
ARNAUD M;9;291;0;0;3;arnaud m;5,17483554005970e+04;8,06451612903226e-05;7,44212601153653e-04;c06
PAILLEX A;9;305;5;231;34;paillex a;1,21354848373312e+04;7,61556621734826e-05;5,96178753838002e-04;c01
PINAZO C;9;187;1;4;17;pinazo c;2,96845239218374e+04;7,95228628230616e-05;6,21394725925679e-04;c03
PLENET S;9;227;4;79;16;plenet s;3,84667226942125e+04;7,79848709350386e-05;5,52091168398179e-04;c09
SICRE MA;9;592;2;67;40;sicre ma;1,06813887286732e+05;7,83637645952512e-05;7,30676116201227e-04;NA
BERGER JF;8;85;1;22;11;berger jf;1,75935268150993e+05;8,28294541538971e-05;8,71415182350214e-04;c07
BOILLAT JL;8;115;1;2;2;boillat jl;3,51616092999483e+04;5,53740517193643e-05;6,52810322041439e-04;NA
BOULOUBASSI I;8;596;6;434;37;bouloubassi i;8,28651123635003e+03;6,96815552923141e-05;4,62868651987516e-04;NA
BOURNAUD M;8;223;4;108;59;bournaud m;1,51189775117262e+04;7,53352418261263e-05;4,19121540855609e-04;c01
CAPRA H;8;417;3;64;14;capra h;1,21618979868096e+04;7,80883960643448e-05;5,65008264115717e-04;c11
CHAPPAZ R;8;50;1;6;4;chappaz r;3,95464072890524e+04;5,97907324364723e-05;6,51135698005562e-04;c09
CHAPRON E;8;438;3;147;17;chapron e;2,79493991751684e+04;8,11556565492615e-05;8,66205538987450e-04;c07
DOLE-OLIVIER MJ;8;417;1;42;16;dole-olivier mj;4,21256820047915e+04;8,25014437752661e-05;4,95827811006338e-04;c01
FORGET P;8;226;4;123;30;forget p;5,61125358266761e+03;6,60938532716457e-05;4,26187043130405e-04;c03
GOLTERMAN HL;8;344;6;273;19;golterman hl;5,93300000000000e+03;7,24585174987320e-05;2,23639962404366e-04;NA
HENRY CP;8;331;6;242;44;henry cp;1,50088887040928e+03;6,95700570474468e-05;2,50981369556377e-04;c01
LABADIE P;8;292;1;30;8;labadie p;5,81175883488227e+04;8,24130542277897e-05;8,60917738453793e-04;c07
PAIRAUD I;8;137;0;0;21;pairaud i;1,57439942257572e+05;8,76808417360807e-05;1,10577951376059e-03;c02
RIQUIER J;8;96;3;53;20;riquier j;2,48418106272328e+04;8,03664711082536e-05;4,78337326604427e-04;c01
SALEN-PICARD C;8;592;3;188;40;salen-picard c;3,92589567651847e+03;6,32231143706139e-05;4,01329890963301e-04;c04
TACHET H;8;196;2;83;93;tachet h;9,94917061590568e+03;6,76956404007582e-05;5,02304884992009e-04;c01
THOMAS RL;8;159;1;12;5;thomas rl;3,83632738095254e+03;4,61808441858317e-05;3,85188903674018e-04;c10
VERNET JP;8;164;0;0;10;vernet jp;3,83512500000016e+03;4,61787116139460e-05;3,72017554361664e-04;c10
WINIARSKI T;8;85;0;0;0;winiarski t;1,37324463720195e+05;9,08512764604343e-05;1,03832474247261e-03;c01
ALBAIGES J;7;710;0;0;11;albaiges j;6,13211678568952e+02;6,70915800067092e-05;2,58500744193352e-04;NA
ARLHAC D;7;414;0;0;0;arlhac d;1,43304901836053e+04;6,35970490969219e-05;4,85262463825744e-04;c04
BASSETTI MA;7;164;1;21;18;bassetti ma;3,24165751295870e+04;7,53636295123973e-05;6,80804673920133e-04;NA
BAYONA JM;7;691;0;0;7;bayona jm;2,09621167856892e+03;6,70960815888352e-05;2,89899746305673e-04;NA
BONTRON G;7;15;0;0;6;bontron g;1,89985451188252e+04;5,38822134813298e-05;6,94243171785730e-04;c11
BOUVET Y;7;233;3;28;10;bouvet y;2,64422575779868e+04;6,95748973770264e-05;5,15429957703015e-04;c09
BUDZINSKI H;7;275;0;0;8;budzinski h;4,74302660700335e+04;8,12479688007800e-05;7,60087841884349e-04;c07
CAGNAT X;7;39;0;0;0;cagnat x;7,31356493954287e+04;8,31393415364150e-05;5,35174682212947e-04;c05
COSSA D;7;179;5;130;25;cossa d;9,86249801735349e+04;8,06581706726891e-05;6,79541626787593e-04;c06
DESSAIX J;7;83;2;23;21;dessaix j;2,35418967762996e+03;7,52502069380691e-05;3,65609322067144e-04;c01
FRANQUET E;7;180;3;46;16;franquet e;8,72032439338580e+04;8,77423883478108e-05;7,32290113373779e-04;c01
HAMELIN B;7;353;0;0;3;hamelin b;6,18905191662978e+04;7,76880049720323e-05;4,21741547991692e-04;NA
LEVEAU M;7;132;1;17;27;leveau m;6,22196581887434e+03;6,56124926185946e-05;3,74368771643261e-04;c03
LIPIATOU E;7;528;5;451;25;lipiatou e;1,57335170600036e+03;6,71005837750788e-05;3,08060826106903e-04;NA
MAILLET GM;7;232;5;175;49;maillet gm;2,40888360107261e+04;7,36593989393047e-05;5,79402642798212e-04;c06
MANY G;7;133;4;82;16;many g;3,60941790848489e+03;7,44158356898348e-05;5,64409541242664e-04;c02
OLLIVIER P;7;227;5;205;66;ollivier p;1,24932936336266e+04;7,40685875120361e-05;2,90356093374323e-04;c08
PATTEE E;7;115;1;13;24;pattee e;2,96800000000000e+03;5,76867608883761e-05;2,85927074833679e-04;c09
STATZNER B;7;679;1;127;135;statzner b;8,09853864250617e+04;7,99168864381044e-05;1,17488964526620e-03;c01
VERNEY R;7;147;0;0;6;verney r;2,86745571737266e+04;7,93587810491231e-05;8,12024284455837e-04;c02
BERREBI P;6;137;1;0;9;berrebi p;7,02267987848981e+04;7,17154331612163e-05;6,72098334728581e-04;c04
BONIN P;6;169;2;59;7;bonin p;5,94706772794777e+03;6,88942473303479e-05;3,47986214353572e-04;c03
BROCHE P;6;252;1;69;45;broche p;1,00041964894199e+04;6,83433570256971e-05;4,17679984295063e-04;c03
CANALS M;6;315;0;0;27;canals m;3,09212127623711e+04;8,12677773262901e-05;7,22786401755838e-04;c02
CATHALOT C;6;257;2;116;53;cathalot c;6,79270471537986e+03;7,44546199091654e-05;5,91092208440120e-04;c06
COPARD Y;6;53;1;10;12;copard y;7,88394844156198e+04;8,61846074291132e-05;7,25034895891393e-04;c07
COPP GH;6;285;5;245;48;copp gh;3,70269156758457e+04;6,49139889646219e-05;5,99493242023670e-04;c09
DEVAUX A;6;253;2;116;7;devaux a;2,23818609755389e+04;7,28438228438228e-05;5,15270685265850e-04;c09
DOLEOLIVIER MJ;6;504;5;448;51;doleolivier mj;6,50948118923288e+02;7,58955676988464e-05;1,92077102074376e-04;c01
DOMINIK J;6;178;1;12;17;dominik j;1,96999999999995e+03;4,61616581267599e-05;1,88057342453421e-04;c10
DOUTRIAUX E;6;8;4;3;6;doutriaux e;1,04184828653132e+04;7,14336738338453e-05;3,24335369057608e-04;c11
EVETTE A;6;44;0;0;3;evette a;2,16732380997674e+04;7,58380100106173e-05;2,83240822286255e-04;c01
EYROLLE-BOYER F;6;47;3;15;16;eyrolle-boyer f;1,41012294694524e+04;7,75013562737348e-05;5,24880306871745e-04;c05
FAURE JB;6;41;0;0;0;faure jb;1,00624371277554e+04;7,98403193612774e-05;4,05632088256638e-04;c08
FRAUNIE P;6;70;0;0;1;fraunie p;1,38774237666396e+04;6,88373373717905e-05;4,47442349641786e-04;c03
GARCIA N;6;183;0;0;2;garcia n;3,69229618478067e+04;8,52660300136426e-05;9,60739227216148e-04;NA
GARRIC J;6;217;0;0;3;garric j;1,78646324746366e+04;6,97836706210747e-05;4,24783356392850e-04;c07
GAUDIN P;6;112;0;0;6;gaudin p;4,42072781719815e+03;6,07791892056160e-05;2,63402562871635e-04;c09
GIRARDCLOS S;6;135;1;29;15;girardclos s;1,24276468245903e+05;5,04286434694907e-05;9,56034125683048e-04;c10
JOLY P;6;166;1;31;9;joly p;7,87758147266387e+03;6,34155621789587e-05;3,69875996760497e-04;c09
LAUNAY M;6;87;2;13;19;launay m;3,03352783523796e+03;7,70891150169596e-05;3,76616662505926e-04;c08
LEFEVRE D;6;200;1;115;48;lefevre d;1,34996401630077e+05;8,54408749145591e-05;9,36198508600690e-04;c03
LETOURNEUR Y;6;229;1;27;3;letourneur y;1,50583691382140e+04;7,19579765416997e-05;5,75197424417753e-04;c04
MASSON M;6;45;1;28;22;masson m;1,65374487140943e+04;8,36960160696351e-05;4,43537704987743e-04;c08
MERIGOUX S;6;272;2;64;32;merigoux s;3,64645319992631e+04;8,23180770497201e-05;6,15985159616880e-04;c01
MIEGE C;6;187;2;94;9;miege c;7,46321876058297e+04;8,57118368046627e-05;6,11937375760841e-04;c08
MOLNAR P;6;211;0;0;10;molnar p;2,25716779173859e+05;5,84692743963047e-05;6,30856811674351e-04;c10
MONACO A;6;684;2;306;72;monaco a;4,61382855863987e+04;8,05866709646224e-05;6,83006779428586e-04;c02
MONCEL MH;6;112;3;48;10;moncel mh;4,81948358215801e+04;5,84487696533988e-05;6,45685196129712e-04;NA
MORAT F;6;45;3;18;6;morat f;1,21372117062264e+05;8,11293201362973e-05;7,55703499393015e-04;c04
PAUTOU G;6;484;2;38;36;pautou g;2,81475821308311e+04;7,78998208304121e-05;5,65235985895425e-04;c01
POIZAT G;6;215;4;187;21;poizat g;2,49445420363222e+04;6,96912676841592e-05;2,28355464570271e-04;NA
PRUSKI AM;6;155;3;14;6;pruski am;3,35084130891783e+03;7,34322220590395e-05;5,14367951006449e-04;c06
RABINEAU M;6;138;1;29;26;rabineau m;3,10883308070218e+04;6,66577789628050e-05;6,70179024535845e-04;NA
RACCASI G;6;252;1;4;11;raccasi g;1,34811171236340e+04;8,02954873936085e-05;3,99333898067020e-04;c05
ROMANO JC;6;116;2;67;7;romano jc;1,22459560150063e+04;5,63094768849597e-05;4,43269755967079e-04;c04
SUC JP;6;199;0;0;10;suc jp;3,16625278184390e+04;7,02197879362404e-05;6,11187500897606e-04;NA
ULSES C;6;255;2;146;60;ulses c;4,35044624473628e+04;7,98913477670368e-05;7,42186247998777e-04;c02
BAGLINIERE JL;5;21;1;1;9;bagliniere jl;2,43092243474825e+04;7,76819700147596e-05;4,69782574565352e-04;c04
BARRATSEGRETAIN MH;5;137;4;129;26;barratsegretain mh;0,00000000000000e+00;6,45036444559118e-05;9,43628591852700e-05;c01
BEAUDOUIN C;5;168;5;168;21;beaudouin c;9,55093194084134e+03;7,05268354608929e-05;4,83901417606760e-04;NA
BEDELL JP;5;145;0;0;0;bedell jp;3,50173429039130e+04;8,56677803478112e-05;6,95086164911574e-04;c01
BENISTON M;5;374;2;219;30;beniston m;3,75635132256588e+04;6,30437523641407e-05;5,29653743623411e-04;c01
BOONE A;5;387;2;318;16;boone a;8,97766666666667e+03;5,43537341015328e-05;4,76350911436079e-04;NA
CHIRON S;5;362;2;220;12;chiron s;3,91006696946939e+04;6,72314105149926e-05;3,95289705730310e-04;NA
CLAVAL D;5;30;0;0;2;claval d;6,93950611281890e+03;8,13404912965674e-05;3,98219464925003e-04;c05
COSTA A;5;98;2;47;5;costa a;6,41213994521592e+03;5,24934383202100e-05;4,00614993103763e-04;c10
DABRIN A;5;42;1;7;8;dabrin a;1,75233053008267e+04;8,58148116364885e-05;3,84308174993200e-04;c08
DARNAUDE AM;5;409;3;304;40;darnaude am;4,23294796154919e+03;6,80364675466050e-05;2,31734769076655e-04;c04
DAY JW;5;207;0;0;11;day jw;2,08096443793753e+04;7,63242253091131e-05;4,64756402122570e-04;c04
DEFLANDRE B;5;98;0;0;12;deflandre b;3,15451000063730e+04;7,14898484415213e-05;8,24599667642839e-04;c06
DENDIEVEL AM;5;33;2;26;8;dendievel am;9,15128526056588e+04;8,18464560484531e-05;8,27844698286196e-04;c07
DENNIELOU B;5;123;0;0;3;dennielou b;4,93241214055089e+03;7,11186971054690e-05;4,70110733675267e-04;c06
DOXARAN D;5;124;0;0;10;doxaran d;1,56446387955750e+04;7,83392087739914e-05;5,86714237698406e-04;c02
DUFOUR S;5;134;0;0;20;dufour s;1,68036946939949e+04;7,86039930828486e-05;3,53723414768928e-04;c01
ETCHEVERS P;5;349;2;106;31;etchevers p;8,28278545015924e+03;6,38488060273273e-05;3,48293315039054e-04;NA
FLAMMARION P;5;186;3;66;6;flammarion p;1,63471976276608e+03;6,24219725343321e-05;3,34661464727131e-04;c09
GADEL F;5;167;2;36;19;gadel f;9,70833998853764e+03;6,92856647959537e-05;4,34535864287611e-04;c03
GALERON MA;5;58;5;58;7;galeron ma;3,94897829758356e+03;7,87587619122627e-05;2,99224293937435e-04;NA
GAUDY R;5;122;3;77;17;gaudy r;1,40514431261237e+04;7,52955349747760e-05;3,21950201926649e-04;c03
GILLES A;5;111;0;0;2;gilles a;8,43416781423369e+04;7,22961249277039e-05;6,29186066201121e-04;c09
GIREL J;5;257;1;25;12;girel j;2,18286938024326e+04;7,41509713777250e-05;5,31372524702277e-04;c01
GIRESSE P;5;250;1;21;3;giresse p;1,52840053294509e+04;7,91201835588259e-05;3,84594897854162e-04;NA
GOUTX M;5;80;0;0;5;goutx m;8,20622856033274e+03;7,37952918603793e-05;3,35447362878627e-04;c03
HARMELIN-VIVIEN M;5;218;2;148;38;harmelin-vivien m;2,34517395849860e+04;7,20305409493625e-05;6,11812445673923e-04;c04
HERNANDEZ JG;5;47;4;13;4;hernandez jg;8,02551502513259e+04;6,07939692382516e-05;5,00748403019654e-04;NA
IBANEZ C;5;269;2;151;40;ibanez c;5,76867866688869e+04;8,39983200335993e-05;3,95676799971846e-04;c04
JANSSEN P;5;43;5;43;7;janssen p;6,63962466770165e+01;7,43826242189824e-05;2,20356059732046e-04;c01
JOUX F;5;117;2;37;9;joux f;9,63223056098789e+03;7,46993351759169e-05;4,51758593571942e-04;c03
JUGET J;5;79;1;36;43;juget j;2,72566408509906e+04;7,96114959000080e-05;2,02828162604340e-04;c01
LABONNE J;5;79;3;63;14;labonne j;2,69543557056174e+02;5,49178977428744e-05;2,29383293045508e-04;c09
LAROCHE J;5;114;2;52;12;laroche j;2,43435882996513e+03;6,36091851663380e-05;3,47330753510409e-04;c09
LE BESCOND C;5;79;1;2;4;le bescond c;7,18403288144759e+03;8,34445927903872e-05;3,71479763217386e-04;c08
LE CORRE M;5;26;3;19;7;le corre m;9,35105851128429e+03;6,33753723303124e-05;3,83503552177751e-04;c04
LEBLOIS E;5;134;0;0;4;leblois e;1,79158077552855e+04;6,76910580112367e-05;3,99054876977062e-04;NA
LOCHET F;5;118;1;37;33;lochet f;3,10345271230889e+03;6,67467627820051e-05;2,58439394625668e-04;c03
LUDWIG W;5;229;1;87;84;ludwig w;3,07729702439257e+04;8,11886011204027e-05;5,58188041954791e-04;c02
MENELLA JY;5;16;0;0;3;menella jy;5,16173924641237e+03;6,83106769588087e-05;3,06633182978401e-04;c04
MOCOCHAIN L;5;186;3;110;11;mocochain l;2,42552970930228e+04;6,10649731314118e-05;4,00395407836477e-04;NA
NOILHAN J;5;375;0;0;18;noilhan j;9,52333572176415e+03;5,88858791661760e-05;4,94686745077086e-04;NA
OUILLON S;5;173;2;57;18;ouillon s;3,13930390516890e+03;6,25039064941559e-05;2,92373899577895e-04;c03
PAMPOULIE C;5;81;5;81;11;pampoulie c;4,43297596570983e+02;5,45613269314710e-05;2,34397059155639e-04;NA
PASTOR L;5;147;3;93;36;pastor l;2,68759460926447e+03;7,16075904045829e-05;3,59801331317517e-04;c06
PELLA H;5;49;0;0;5;pella h;1,60323318346075e+04;7,70891150169596e-05;5,33749312237536e-04;c11
RAYNAL JP;5;60;1;4;1;raynal jp;1,09644946831763e+05;7,03729767769177e-05;5,08238456939306e-04;c07
RENAUD P;5;29;0;0;6;renaud p;9,44751741056642e+02;7,09421112372304e-05;2,92807409839204e-04;c05
RONTANI JF;5;44;0;0;7;rontani jf;6,99173256864528e+03;7,59359100918825e-05;3,02606957780841e-04;NA
SAUQUET E;5;81;3;58;16;sauquet e;3,18097430349575e+04;6,72902227306372e-05;5,41102786094117e-04;NA
SCHLUNEGGER F;5;195;2;134;13;schlunegger f;3,85978158730158e+03;5,03068719187041e-05;4,02391033670300e-04;c10
STOFFEL M;5;134;0;0;5;stoffel m;6,63495773984863e+04;7,44490768314473e-05;6,13904351679577e-04;NA
THOLLET F;5;40;1;2;24;thollet f;1,73105029551704e+04;8,38152711424021e-05;4,35968548982425e-04;c08
THOMAS AJ;5;201;1;31;26;thomas aj;5,41645529214335e+03;6,30119722747322e-05;2,34485012580879e-04;NA
VAUCLIN S;5;43;4;33;14;vauclin s;1,63337942992947e+04;8,51208716377256e-05;4,11581811210357e-04;c07
VAUDOR L;5;50;1;14;7;vaudor l;1,82370752568292e+04;8,29256157226967e-05;3,87960993114641e-04;c08
VEHIL R;5;380;0;0;0;vehil r;8,25060849930892e+02;7,02790076604118e-05;2,55731082304910e-04;c02
WILDI W;5;49;1;2;11;wildi w;2,26557227533710e+04;4,62920099990742e-05;6,53329115089046e-04;c10
ALOISI JC;4;305;0;0;89;aloisi jc;1,87330546005688e+04;7,91765637371338e-05;3,79422579158959e-04;NA
AMOUROUX JM;4;197;0;0;1;amouroux jm;2,38731418885505e+03;6,84743905779239e-05;2,48736674100903e-04;c06
ARN K;4;138;1;13;4;arn k;7,41333333333333e+02;5,20101939980236e-05;2,22219474165951e-04;NA
BARCELO D;4;356;0;0;4;barcelo d;1,74082048204896e+04;6,44246875402654e-05;3,44072651732184e-04;NA
BARRAT-SEGRETAIN MH;4;222;2;181;12;barrat-segretain mh;8,99309488719401e+03;6,74445268766440e-05;2,82861828732351e-04;c01
BERTRAN P;4;51;1;8;8;bertran p;1,23777868824697e+04;6,10090903544628e-05;4,65102442513477e-04;NA
BOSQ M;4;51;3;43;4;bosq m;1,23777868824697e+04;6,10090903544628e-05;4,65102442513440e-04;NA
BOULTON AJ;4;135;3;109;61;boulton aj;5,93300000000000e+03;7,40247242579021e-05;2,13604136280738e-04;c01
BOURGEOIS S;4;128;1;56;27;bourgeois s;4,57092621160755e+03;7,24532676423707e-05;4,09720720766452e-04;c06
BOURRIN F;4;116;1;48;50;bourrin f;6,88345004334906e+03;7,54034082340522e-05;6,14354740363506e-04;c02
BOYER P;4;45;0;0;4;boyer p;3,08659055395337e+04;7,31207955542556e-05;5,02257865221660e-04;c02
BURRUS D;4;85;3;73;15;burrus d;0,00000000000000e+00;4,06223341593208e-05;1,33565678046928e-04;c10
CALMET D;4;46;0;0;45;calmet d;6,31207884034618e+03;6,73219334859297e-05;3,32608851872850e-04;c05
CARLOTTI F;4;29;1;3;4;carlotti f;2,19612197447297e+04;7,35186002058521e-05;3,80767155490009e-04;NA
CHANGEUX T;4;28;3;22;21;changeux t;1,31729902785425e+03;6,84322178881818e-05;1,78482810720227e-04;c04
CHERGUI H;4;87;3;74;8;chergui h;0,00000000000000e+00;4,92562309132105e-05;8,27349660417800e-05;c09
COULET E;4;126;0;0;2;coulet e;7,97775598142938e+04;7,79605519607079e-05;6,39511463495855e-04;NA
DACHS J;4;257;2;90;12;dachs j;2,09621167856892e+03;6,70960815888352e-05;2,89899746305567e-04;NA
DE CESARE G;4;0;1;0;4;de cesare g;1,50782511296936e+04;4,52878039943843e-05;5,51162877931558e-04;NA
DE MARSILY G;4;71;0;0;4;de marsily g;3,25450000000000e+04;6,36213258684311e-05;4,18372682951667e-04;NA
DEBRET M;4;115;1;63;8;debret m;7,18216854700236e+03;7,89328281632331e-05;6,13150017184750e-04;c07
DENIS L;4;163;2;92;12;denis l;1,91519316320502e+03;6,80688857123409e-05;1,37977033245677e-04;c04
DEVENON JL;4;204;0;0;1;devenon jl;8,99961777986724e+03;7,03531729280991e-05;3,74810934313102e-04;c02
DIOUF S;4;9;0;0;2;diouf s;6,94960278642546e+04;7,62485703393061e-05;4,29434899336076e-04;c08
DUCROS L;4;81;1;20;6;ducros l;3,85643570688741e+03;7,66518473095202e-05;3,25604487481182e-04;c05
DUFFA C;4;36;2;14;14;duffa c;8,63184921139948e+03;7,81127948758007e-05;2,55665295915171e-04;c05
DUGUE V;4;36;1;2;10;dugue v;2,27962364641257e+03;7,99424414421616e-05;3,12942645597135e-04;c08
FERNANDES P;4;66;0;0;6;fernandes p;6,42716417841967e+03;5,83668942975544e-05;3,21626741704031e-04;NA
FONTANIER C;4;182;0;0;13;fontanier c;1,29164860616782e+04;7,60514107536695e-05;4,96845082444115e-04;c06
FORCELLINI M;4;40;1;4;0;forcellini m;3,40869909069283e+03;7,29927007299270e-05;2,72572852179293e-04;c01
GOINEAU A;4;182;3;158;17;goineau a;1,29164860616782e+04;7,60514107536695e-05;4,96845082444003e-04;c06
GOLAZ C;4;189;0;0;4;golaz c;2,09772199889287e+02;6,38284291823578e-05;2,92687824225866e-04;NA
GUILLARD J;4;43;2;12;6;guillard j;5,93300000000000e+03;6,61113314822161e-05;2,85733862060341e-04;c08
GUINAND B;4;45;3;27;6;guinand b;1,95975628894789e+03;6,13008030405198e-05;2,99313284049832e-04;c01
